Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,,,"batch_size=32, lr = 0.01",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr,"batch_size=32,lr=1e-4",,Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
,,,,,,,,,,,72,0.661,0.009,0.60061,86.5262,96.6446,5.00E-09,,,,,,,,,
,,,,,,,,,,,73,0.66,0.009,0.59469,86.5366,96.9697,5.00E-09,,,,,,,,,
,,,,,,,,,,,74,0.661,0.009,0.59285,86.9456,96.9278,5.00E-09,,,,,,,,,
,,,,,,,,,,,75,0.662,0.011,0.60654,86.7568,96.8858,5.00E-09,,,,,,,,,
,,,,,,,,,,,76,0.661,0.01,0.59231,86.7359,97.0955,5.00E-09,,,,,,,,,
,,,,,,,,,,,77,0.661,0.01,0.5975,86.61,96.9697,5.00E-09,,,,,,,,,
,,,,,,,,,,,78,0.661,0.01,0.58582,86.9875,96.9278,5.00E-09,,,,,,,,,
,,,,,,,,,,,79,0.661,0.01,0.59585,86.7778,96.9802,5.00E-09,,,,,,,,,
,,,,,,,,,,,80,0.661,0.01,0.59933,86.9141,96.7495,5.00E-09,,,,,,,,,
,,,,,,,,,,,81,0.661,0.01,0.59505,86.8932,96.76,5.00E-09,,,,,,,,,
,,,,,,,,,,,82,0.661,0.009,0.60407,86.5366,96.8334,5.00E-09,,,,,,,,,
,,,,,,,,,,,83,0.661,0.01,0.59197,86.3689,96.8648,5.00E-09,,,,,,,,,
,,,,,,,,,,,84,0.661,0.01,0.60214,86.8512,96.8544,5.00E-09,,,,,,,,,
,,,,,,,,,,,85,0.661,0.01,0.61984,86.1172,96.6551,5.00E-09,,,,,,,,,
,,,,,,,,,,,86,0.663,0.012,0.60529,86.5157,96.8334,5.00E-09,,,,,,,,,
,,,,,,,,,,,87,0.661,0.01,0.60365,86.631,96.9382,5.00E-09,,,,,,,,,
,,,,,,,,,,,88,0.661,0.01,0.60857,86.3899,96.718,5.00E-09,,,,,,,,,
,,,,,,,,,,,89,0.661,0.01,0.60425,86.5891,96.9802,5.00E-09,,,,,,,,,
,,,,,,,,,,,90,0.663,0.011,0.59937,86.6939,96.8963,5.00E-09,,,,,,,,,
,,,,,,,,,,,91,0.663,0.012,0.5868,87.0504,96.9697,5.00E-09,,,,,,,,,
,,,,,,,,,,,92,0.662,0.01,0.60368,86.5157,96.9697,5.00E-09,,,,,,,,,
,,,,,,,,,,,93,0.661,0.01,0.59702,86.3794,97.0641,5.00E-09,,,,,,,,,
